id,"gp","fund"
2809,"永安信（天津）股权投资基金管理有限公司","永安信迪龙（厦门）股权投资基金合伙企业（有限合伙）"
2810,"永安信（天津）股权投资基金管理有限公司","重庆永安信雨森股权投资中心（有限合伙）"
2811,"永安信（天津）股权投资基金管理有限公司","重庆永安信银嘉投资管理中心(有限合伙）"
2812,"永安信（天津）股权投资基金管理有限公司","永安信（厦门）股权投资基金合伙企业（有限合伙）"
2813,"永安信（天津）股权投资基金管理有限公司","永安信广润二号（深圳）股权投资基金中心（有限合伙）"
2814,"永安信（天津）股权投资基金管理有限公司","永安信华丰（天津）投资合伙企业（有限合伙）"
2815,"永安信（天津）股权投资基金管理有限公司","永安信广润一号（深圳）股权投资基金中心（有限合伙）"
2816,"永安信（天津）股权投资基金管理有限公司","福州永安信旭日东升股权投资合伙企业(有限合伙)"
2817,"永安信（天津）股权投资基金管理有限公司","哈尔滨永硕源股权投资基金管理中心（有限合伙）"
2818,"永安信（天津）股权投资基金管理有限公司","永安瑞石家庄股权投资基金中心(有限合伙)"
2819,"永安信（天津）股权投资基金管理有限公司","哈尔滨永如信股权投资基金管理中心（有限合伙）"
2820,"永安信（天津）股权投资基金管理有限公司","哈尔滨安上源股权投资基金管理中心（有限合伙）"
2821,"博信（天津）股权投资管理合伙企业（有限合伙）","博信添利（天津）股权投资基金合伙企业（有限合伙）"
2822,"博信（天津）股权投资管理合伙企业（有限合伙）","博信成长（天津）股权投资基金合伙企业（有限合伙）"
2823,"博信（天津）股权投资管理合伙企业（有限合伙）","博信一期（天津）股权投资基金合伙企业（有限合伙）"
2824,"博信（天津）股权投资管理合伙企业（有限合伙）","博信优质（天津）股权投资基金合伙企业（有限合伙）"
2825,"博信（天津）股权投资管理合伙企业（有限合伙）","苏州博信成长股权投资基金合伙企业（有限合伙）"
2826,"博信（天津）股权投资管理合伙企业（有限合伙）","博信优选（天津）股权投资基金合伙企业（有限合伙）"
2827,"广州产业投资基金管理有限公司","广州产业转型升级引导基金"
2828,"北京文资汇众投资管理有限公司","北京市文资投资基金有限公司"
2829,"北京北大医疗产业基金管理有限公司","北京北大医疗上银股权投资中心（有限合伙）"
2830,"上海中城年代股权投资基金管理有限公司","上海中城蓉盈投资中心(有限合伙)"
2831,"上海中城年代股权投资基金管理有限公司","上海中城永筑投资中心（有限合伙）"
2832,"上海中城年代股权投资基金管理有限公司","上海中城熠富投资中心（有限合伙）"
2833,"上海中城年代股权投资基金管理有限公司","上海中城乾益投资中心（有限合伙）"
2834,"上海中城年代股权投资基金管理有限公司","上海中城永昱投资中心（有限合伙）"
2835,"上海中城年代股权投资基金管理有限公司","上海中城永瑜投资中心（有限合伙）"
2836,"上海中城年代股权投资基金管理有限公司","上海中城乾念投资中心（有限合伙）"
2837,"上海中城年代股权投资基金管理有限公司","上海中城勇诺投资中心（有限合伙）"
2838,"上海中城年代股权投资基金管理有限公司","上海中城意含投资中心（有限合伙）"
2839,"上海中城年代股权投资基金管理有限公司","上海中城煦盈投资中心（有限合伙）"
2840,"上海中城年代股权投资基金管理有限公司","上海中城涌才投资中心（有限合伙）"
2841,"上海中城年代股权投资基金管理有限公司","上海中城永殷投资中心（有限合伙）"
2842,"上海中城年代股权投资基金管理有限公司","上海中城涌馨投资中心（有限合伙）"
2843,"上海中城年代股权投资基金管理有限公司","上海中城渝通投资中心(有限合伙)"
2844,"上海中城年代股权投资基金管理有限公司","宁波梅山保税港区中城永泽投资中心（有限合伙）"
2845,"上海中城年代股权投资基金管理有限公司","宁波梅山保税港区中城乾元投资中心（有限合伙）"
2846,"上海中城年代股权投资基金管理有限公司","上海中城尺泽投资中心（有限合伙）"
2847,"上海中城年代股权投资基金管理有限公司","上海中城涌萱投资中心（有限合伙）"
2848,"上海中城年代股权投资基金管理有限公司","宁波梅山保税港区中城永坤投资中心（有限合伙）"
2849,"上海中城年代股权投资基金管理有限公司","上海中城灿朔投资中心（有限合伙）"
2850,"上海中城年代股权投资基金管理有限公司","上海中城永烁投资中心（有限合伙）"
2851,"上海中城年代股权投资基金管理有限公司","上海中城涌志投资中心（有限合伙）"
2852,"上海中城年代股权投资基金管理有限公司","宁波梅山保税港区中城永菏投资中心（有限合伙）"
2853,"上海中城年代股权投资基金管理有限公司","上海中城殷武投资中心（有限合伙）"
2854,"上海中城年代股权投资基金管理有限公司","上海中城鱼际投资中心（有限合伙）"
2855,"上海中城年代股权投资基金管理有限公司","上海中城承扶投资中心（有限合伙）"
2856,"上海中城年代股权投资基金管理有限公司","上海中城永觅投资中心（有限合伙）"
2857,"上海中城年代股权投资基金管理有限公司","上海中城勇雅投资中心（有限合伙）"
2858,"上海中城年代股权投资基金管理有限公司","上海中城涌岚投资中心（有限合伙）"
2859,"上海中城年代股权投资基金管理有限公司","上海中城永前投资中心（有限合伙）"
2860,"上海中城年代股权投资基金管理有限公司","宁波梅山保税港区中城永乾投资中心（有限合伙）"
2861,"上海中城年代股权投资基金管理有限公司","上海中城勇逸投资中心（有限合伙）"
2862,"上海中城年代股权投资基金管理有限公司","上海中城勇圣投资中心（有限合伙）"
2863,"上海中城年代股权投资基金管理有限公司","上海中城乾武投资中心（有限合伙）"
2864,"上海中城年代股权投资基金管理有限公司","上海中城乾菁投资中心（有限合伙）"
2865,"北京中和润物股权投资基金管理有限公司","北京润泽投资基金（有限合伙）"
2866,"河北凤博股权投资基金管理有限责任公司","河北泛亚股权投资基金股份公司"
2867,"深圳市中通汇银资产管理有限公司","深圳市汇银瑞和六号投资合伙企业（有限合伙）"
2868,"深圳市中通汇银资产管理有限公司","深圳市汇银合富十号投资合伙企业（有限合伙）"
2869,"深圳市中通汇银资产管理有限公司","深圳市汇银叁号投资合伙企业（有限合伙）"
2870,"深圳市中通汇银资产管理有限公司","深圳市汇银贰号投资合伙企业（有限合伙）"
2871,"深圳市中通汇银资产管理有限公司","深圳市汇银海富五号投资合伙企业（有限合伙）"
2872,"深圳市中通汇银资产管理有限公司","深圳市汇银创富四号投资合伙企业（有限合伙）"
2873,"深圳市中通汇银资产管理有限公司","深圳市汇银富成九号投资合伙企业（有限合伙）"
2874,"昆山琨玉股权投资管理有限公司","昆山琨玉鼎成投资企业（有限合伙）"
2875,"昆山琨玉股权投资管理有限公司","昆山创新股权投资企业（有限合伙）"
2876,"上海隆维顺股权投资管理有限公司","上海隆维钰投资中心（有限合伙）"
2877,"上海隆维顺股权投资管理有限公司","上海友盛投资中心（有限合伙）"
2878,"上海德晖投资管理有限公司","上海德晖声远投资有限公司"
2879,"上海德晖投资管理有限公司","无锡德晖宝鑫投资中心（有限合伙）"
2880,"上海德晖投资管理有限公司","上海德晖景远股权投资合伙企业（有限合伙）"
2881,"上海德晖投资管理有限公司","上海德晖致晟投资管理中心（有限合伙）"
2882,"上海德晖投资管理有限公司","上海德晖朵远企业管理咨询中心（有限合伙）"
2883,"天津滨海海胜股权投资基金管理有限公司","天津滨海北辰镒泰股权投资基金有限公司"
2884,"皖江产业转移投资基金（安徽）管理有限公司","皖江城市带承接产业转移投资基金（安徽）有限公司"
2885,"皖江产业转移投资基金（安徽）管理有限公司","安庆同安城镇化三号基金（有限合伙）"
2886,"皖江产业转移投资基金（安徽）管理有限公司","合肥建琪城市建设发展合伙企业（有限合伙）"
2887,"皖江产业转移投资基金（安徽）管理有限公司","宣城建银城市发展投资基金（有限合伙）"
2888,"皖江产业转移投资基金（安徽）管理有限公司","铜陵市建银城市发展基金（有限合伙）"
2889,"皖江产业转移投资基金（安徽）管理有限公司","蚌埠建银投资基金（有限合伙）"
2890,"皖江产业转移投资基金（安徽）管理有限公司","淮南建银城市基金（有限合伙）"
2891,"皖江产业转移投资基金（安徽）管理有限公司","滁州建城投资基金合伙企业（有限合伙）"
2892,"皖江产业转移投资基金（安徽）管理有限公司","阜阳市建银投资发展基金（有限合伙）"
2893,"深圳市和辉信达投资有限公司","北京顺鑫和辉股权投资中心（有限合伙）"
2894,"深圳市和辉信达投资有限公司","北京顺鑫和辉创业投资中心（有限合伙）"
2895,"深圳市和辉信达投资有限公司","深圳市和辉京盛股权投资企业（有限合伙）"
2896,"深圳市和辉信达投资有限公司","天津市兆华和辉投资合伙企业（有限合伙）"
2897,"深圳市和辉信达投资有限公司","深圳市和辉创业投资企业（有限合伙）"
2898,"深圳市和辉信达投资有限公司","深圳市和辉财富投资企业（有限合伙）"
2899,"深圳市和辉信达投资有限公司","深圳市中艺和辉股权投资企业（有限合伙）"
2900,"西藏朗润投资管理有限公司","广州朗润坤合投资中心（有限合伙）"
2901,"西藏朗润投资管理有限公司","杭州百会全股权投资基金合伙企业（有限合伙）"
2902,"富鼎和股权投资基金管理（天津）有限公司","北京富鼎和卓越股权投资中心（有限合伙）"
2903,"富鼎和股权投资基金管理（天津）有限公司","武汉富鼎和先锋股权投资基金合伙企业（有限合伙）"
2904,"富鼎和股权投资基金管理（天津）有限公司","天津富鼎和卓越股权投资基金合伙企业（有限合伙）"
2905,"富鼎和股权投资基金管理（天津）有限公司","武汉富鼎和卓越股权投资基金合伙企业（有限合伙）"
2906,"富鼎和股权投资基金管理（天津）有限公司","富鼎和卓捷基金"
2907,"富鼎和股权投资基金管理（天津）有限公司","富鼎和明石基金"
2908,"上海复祥投资管理合伙企业（有限合伙）","上海复鑫股权投资基金合伙企业（有限合伙）"
2909,"上海复祥投资管理合伙企业（有限合伙）","上海复新股权投资基金合伙企业（有限合伙）"
2910,"久响永泰投资管理（北京）有限公司","北京久响丰华投资管理中心（有限合伙）"
2911,"久响永泰投资管理（北京）有限公司","北京久响丰润投资管理中心（有限合伙）"
2912,"久响永泰投资管理（北京）有限公司","北京久响丰铭投资管理中心（有限合伙）"
2913,"北京熙祥影视文化产业投资管理中心（有限合伙）","北京华夏熙祥影视文化投资中心（有限合伙）"
2914,"北京熙祥影视文化产业投资管理中心（有限合伙）","北京熙祥嘉华影视文化投资中心（有限合伙）"
2915,"成都博源投资管理有限公司","成都博源创业投资中心（有限合伙）"
2916,"成都博源投资管理有限公司","成都博源天鸿投资合伙企业（有限合伙）"
2917,"成都博源投资管理有限公司","成都春垒科技创业投资合伙企业（有限合伙）"
2918,"南京金光紫金创业投资管理有限公司","南京金光紫金股权投资基金（有限合伙企业）"
2919,"南京金光紫金创业投资管理有限公司","南京金光方山投资基金企业（有限合伙）"
2920,"南京金光紫金创业投资管理有限公司","南京紫东国际创意园天使投资基金（有限合伙企业）"
2921,"广东集成富达基金管理中心（有限合伙）","佛山市建银集成创业投资合伙企业（有限合伙）"
2922,"广东集成富达基金管理中心（有限合伙）","佛山市科技孵化基金（有限合伙）"
2923,"广东集成富达基金管理中心（有限合伙）","佛山市银富创业投资合伙企业（有限合伙）"
2924,"广东集成富达基金管理中心（有限合伙）","广东集成创业投资有限公司"
2925,"广东集成富达基金管理中心（有限合伙）","集成富达壹零后股权投资基金"
2926,"广东集成富达基金管理中心（有限合伙）","佛山市富达甄选壹号投资管理合伙企业（有限合伙）"
2927,"广东集成富达基金管理中心（有限合伙）","深圳市集富迪尔股权投资合伙企业（有限合伙）"
2928,"北京富坤中技投资管理有限公司","北京中技富坤创业投资中心（有限合伙）"
2929,"上海壹德资产管理有限公司","上海正同德石投资合伙企业（有限合伙）"
2930,"浙江钛和投资管理有限公司","苏州钛和瑞富股权投资合伙企业（有限合伙）"
2931,"浙江钛和投资管理有限公司","浙江瑞瀛钛和股权投资合伙企业（有限合伙）"
2932,"浙江钛和投资管理有限公司","浙江钛嘉创业投资合伙企业（有限合伙）"
2933,"浙江钛和投资管理有限公司","杭州奥杉智数创业投资合伙企业（有限合伙）"
2934,"上海联新投资咨询有限公司","上海联新二期股权投资中心（有限合伙）"
2935,"上海联新投资咨询有限公司","上海联本投资管理中心（有限合伙）"
2936,"上海联新投资咨询有限公司","上海联爵投资管理中心（有限合伙）"
2937,"上海联新投资咨询有限公司","上海联时投资管理中心（有限合伙）"
2938,"深圳市深商富坤兴业基金管理有限公司","深圳市深商兴业创业投资基金合伙企业（有限合伙）"
2939,"上海歌石投资管理有限公司","上海歌石股权投资基金合伙企业（有限合伙）"
2940,"上海汉理股权投资管理股份有限公司","上海汉理前景股权投资合伙企业（有限合伙）"
2941,"北京浙控金诚资产管理有限公司","北京浙控金诚股权投资中心（有限合伙）"
2942,"北京浙控金诚资产管理有限公司","杭州汇明泓利股权投资合伙企业（有限合伙）"
2943,"北京启迪兴业创新投资有限公司","北京启迪兴业创新投资有限公司"
2944,"华映光辉投资管理（苏州）有限公司","苏州华映文化产业投资企业（有限合伙）"
2945,"天津文化产业股权投资基金管理有限公司","天津文化产业股权投资基金合伙企业（有限合伙）"
2946,"苏州农发创新资本管理有限公司","苏州农旺投资中心（有限合伙）"
2947,"苏州农发创新资本管理有限公司","苏州农发创业投资中心（有限合伙）"
2948,"常熟华映光辉投资管理有限公司","常熟华映东南投资有限公司"
2949,"湖南富坤投资管理有限公司","湖南富坤文化传媒投资中心（有限合伙）"
2950,"上海中汇金玖投资有限公司","上海中汇金玖二期股权投资基金合伙企业（有限合伙）"
2951,"上海中汇金玖投资有限公司","上海中汇金玖一期股权投资基金（有限合伙）"
2952,"上海中汇金玖投资有限公司","保利龙马鸿利股权投资基金（天津）合伙企业（有限合伙）"
2953,"上海中汇金玖投资有限公司","上海中汇金叁创业投资中心（有限合伙）"
2954,"上海中汇金玖投资有限公司","南通中玖股权投资基金合伙企业（有限合伙）"
2955,"上海中汇金玖投资有限公司","南通金玖惠通五期创业投资基金合伙企业（有限合伙）"
2956,"上海中汇金玖投资有限公司","南通金玖惠通二期创业投资基金合伙企业（有限合伙）"
2957,"上海中汇金玖投资有限公司","上海中汇金玖四期股权投资基金管理合伙企业（有限合伙）"
2958,"上海中汇金玖投资有限公司","南通金玖惠通一期创业投资基金合伙企业（有限合伙）"
2959,"上海中汇金玖投资有限公司","上海中汇金玖五期股权投资基金合伙企业（有限合伙）"
2960,"上海中汇金玖投资有限公司","上海中汇金玖七期股权投资基金管理合伙企业（有限合伙）"
2961,"上海中汇金玖投资有限公司","南通金玖惠通三期创业投资基金合伙企业（有限合伙）"
2962,"上海中汇金玖投资有限公司","上海中汇金玖六期股权投资基金合伙企业（有限合伙）"
2963,"上海中汇金玖投资有限公司","上海中汇金玖叁期创业投资基金合伙企业（有限合伙）"
2964,"广州西域投资管理中心（有限合伙）","萍乡西域至尚投资管理中心（有限合伙）"
2965,"广州西域投资管理中心（有限合伙）","广州西域生物医药股权投资基金合伙企业（有限合伙）"
2966,"广州西域投资管理中心（有限合伙）","赣州市西域和谐投资管理中心（有限合伙）"
2967,"广州西域投资管理中心（有限合伙）","珠海粤铂星西域投资合伙企业（有限合伙）"
2968,"南通康成亨能达创业投资管理有限公司","南通康成亨重点成长型企业股权投资合伙企业（有限合伙）"
2969,"厦门金沃股权投资管理有限公司","厦门金慈投资合伙企业（有限合伙）"
2970,"河南盛金投资管理有限公司","河南盛丰投资基金管理中心（有限合伙）"
2971,"上海思佰益仪电股权投资管理有限公司","上海仪电思佰益股权投资合伙企业"
2972,"上海思佰益仪电股权投资管理有限公司","上海诺联投资管理中心（有限合伙）"
2973,"上海思佰益仪电股权投资管理有限公司","上海善联商贸合伙企业（有限合伙）"
2974,"上海思佰益仪电股权投资管理有限公司","上海仪电思佰益陆投资管理中心（有限合伙）"
2975,"上海思佰益仪电股权投资管理有限公司","上海仪电思佰益伍投资管理中心（有限合伙）"
2976,"上海思佰益仪电股权投资管理有限公司","上海仪电思佰益捌投资管理中心（有限合伙）"
2977,"上海思佰益仪电股权投资管理有限公司","上海仪电思佰益叁投资管理中心（有限合伙）"
2978,"上海真金资产管理有限公司","上海金进股权投资中心（有限合伙）"
2979,"上海真金资产管理有限公司","上海千壹股权投资中心（有限合伙）"
2980,"上海真金资产管理有限公司","金睛创业投资基金"
2981,"四川聚信发展股权投资基金管理有限公司","成都聚信天颐投资中心（有限合伙）"
2982,"四川聚信发展股权投资基金管理有限公司","成都聚信汇诚盈泰投资中心（有限合伙）"
2983,"四川聚信发展股权投资基金管理有限公司","四川省健康养老产业股权投资基金合伙企业（有限合伙）"
2984,"四川聚信发展股权投资基金管理有限公司","成都武侯环城生态区投资产业基金2号"
2985,"四川聚信发展股权投资基金管理有限公司","成都武侯环城生态区投资产业基金1号"
2986,"东方富海（上海）投资管理合伙企业（有限合伙）","东方富海（上海）创业投资企业（有限合伙）"
2987,"上海新沪商实业集团投资股份有限公司","琥珀（上海）股权投资合伙企业（有限合伙）"
2988,"天津汇融股权投资基金管理合伙企业（有限合伙）","天津汇融长河股权投资基金合伙企业（有限合伙）"
2989,"北京凤博汇富投资管理有限公司","北京凤博汇鑫投资中心（有限合伙）"
2990,"北京凤博汇富投资管理有限公司","深圳战国时代网络安全创业投资中心（有限合伙）"
2991,"深圳同创伟业资产管理股份有限公司","北京同创共享创业投资中心（有限合伙）"
2992,"深圳同创伟业资产管理股份有限公司","杭州南海成长投资合伙企业（有限合伙）"
2993,"深圳同创伟业资产管理股份有限公司","南海成长（天津）股权投资基金合伙企业（有限合伙）"
2994,"深圳同创伟业资产管理股份有限公司","南海创新（天津）股权投资基金合伙企业（有限合伙）"
2995,"深圳同创伟业资产管理股份有限公司","深圳市南海成长创科投资合伙企业（有限合伙）"
2996,"深圳同创伟业资产管理股份有限公司","南海成长精选（天津）股权投资基金合伙企业（有限合伙）"
2997,"深圳同创伟业资产管理股份有限公司","南海成长二期基金"
2998,"深圳同创伟业资产管理股份有限公司","南海成长一期基金"
2999,"深圳同创伟业资产管理股份有限公司","深圳南海成长同赢股权投资基金（有限合伙）"
3000,"深圳同创伟业资产管理股份有限公司","同创世联地产平衡基金1号"
3001,"深圳同创伟业资产管理股份有限公司","深圳同创稳健股权投资基金合伙企业（有限合伙）"
3002,"杭州泰恒投资管理有限公司","杭州钱江中小企业创业投资有限公司"
3003,"杭州泰恒投资管理有限公司","杭州金投智信创业投资合伙企业（有限合伙）"
3004,"杭州泰恒投资管理有限公司","杭州金投智汇创业投资合伙企业（有限合伙）"
3005,"杭州泰恒投资管理有限公司","杭州金投智诚创业投资合伙企业（有限合伙）"
3006,"杭州泰恒投资管理有限公司","杭州金投智远创业投资合伙企业（有限合伙）"
3007,"杭州泰恒投资管理有限公司","杭州锦惠投资管理合伙企业（有限合伙）"
3008,"杭州泰恒投资管理有限公司","杭州金投维格投资合伙企业（有限合伙）"
3009,"杭州泰恒投资管理有限公司","杭州金投智盛创业投资合伙企业（有限合伙）"
3010,"杭州泰恒投资管理有限公司","杭州金投荟盈创业投资合伙企业（有限合伙）"
3011,"深圳市康成亨资产管理有限公司","深圳康成亨宝通投资合伙企业(有限合伙)"
3012,"深圳市康成亨资产管理有限公司","深圳康成亨宝成投资合伙企业（有限合伙）"
3013,"深圳市康成亨资产管理有限公司","深圳康成亨宝常投资合伙企业(有限合伙)"
3014,"深圳市康成亨资产管理有限公司","深圳市汇智天下科技产业投资合伙企业（有限合伙）"
3015,"深圳市康成亨资产管理有限公司","深圳康成亨宝丰投资合伙企业(有限合伙)"
3016,"广东粤商创业投资有限公司","深圳粤之商投资合伙企业（有限合伙）"
3017,"广东粤商创业投资有限公司","大余创兴客文化产业投资合伙企业（有限合伙）"
3018,"广东粤商创业投资有限公司","广州创慧客投资合伙企业（有限合伙）"
3019,"广东粤商创业投资有限公司","广州创捷客股权投资合伙企业（有限合伙）"
3020,"广东粤商创业投资有限公司","广州市卓行客投资合伙企业（有限合伙）"
3021,"广东粤商创业投资有限公司","广州悦知客投资合伙企业（有限合伙）"
3022,"广东粤商创业投资有限公司","广州创星客文化产业投资合伙企业（有限合伙）"
3023,"上海银叶投资有限公司","长安基金银叶宏观配置10号投资组合"
3024,"上海银叶投资有限公司","银叶-璞玉1期基金"
3025,"上海银叶投资有限公司","银叶-引玉2期基金"
3026,"上海银叶投资有限公司","长安基金罗牛山投资组合"
3027,"上海银叶投资有限公司","【上海银叶-浙商】股权投资基金"
3028,"上海银叶投资有限公司","银叶-攻玉主题精选基金"
3029,"北京加华伟业资本管理有限公司","加华裕丰（天津）股权投资管理合伙企业（有限合伙）"
3030,"北京加华伟业资本管理有限公司","安徽加华安元投资基金合伙企业（有限合伙）"
3031,"深圳市高特佳投资集团有限公司","深圳市融元创业投资有限责任公司"
3032,"深圳市高特佳投资集团有限公司","深圳市高特佳瑞富投资合伙企业（有限合伙）"
3033,"深圳市高特佳投资集团有限公司","深圳市高特佳汇富投资合伙企业（有限合伙）"
3034,"深圳市高特佳投资集团有限公司","深圳市高特佳瑞佳投资合伙企业（有限合伙）"
3035,"深圳市高特佳投资集团有限公司","深圳市高特佳精选成长投资合伙企业"
3036,"深圳市高特佳投资集团有限公司","苏州高特佳蔚蓝投资中心(有限合伙)"
3037,"深圳市高特佳投资集团有限公司","深圳市高特佳融辉投资合伙企业（有限合伙）"
3038,"深圳市高特佳投资集团有限公司","深圳市高特佳永辉投资合伙企业（有限合伙）"
3039,"深圳市高特佳投资集团有限公司","江苏昆山高特佳创业投资有限公司"
3040,"深圳市高特佳投资集团有限公司","深圳市高特佳精选恒富投资合伙企业（有限合伙）"
3041,"深圳市高特佳投资集团有限公司","厦门厦国信高特佳投资合伙企业（有限合伙）"
3042,"深圳市高特佳投资集团有限公司","深圳市高特佳睿智投资合伙企业（有限合伙）"
3043,"深圳市高特佳投资集团有限公司","深圳市高特佳前海优享投资合伙企业（有限合伙）"
3044,"深圳市高特佳投资集团有限公司","深圳市高特佳弘寿产业投资合伙企业 （有限合伙）"
3045,"深圳市高特佳投资集团有限公司","厦门高特佳健康优享投资合伙企业（有限合伙）"
3046,"深圳天图资本管理中心（有限合伙）","深圳市天图兴瑞创业投资有限公司"
3047,"深圳天图资本管理中心（有限合伙）","天津天图兴盛股权投资基金合伙企业（有限合伙）"
3048,"深圳天图资本管理中心（有限合伙）","天津天图兴华股权投资合伙企业（有限合伙）"
3049,"深圳天图资本管理中心（有限合伙）","成都天图天投东风股权投资基金中心(有限合伙)"
3050,"深圳天图资本管理中心（有限合伙）","深圳市天图东峰中小微企业股权投资基金合伙企业（有限合伙）"
3051,"深圳天图资本管理中心（有限合伙）","杭州商牛投资管理合伙企业（有限合伙）"
3052,"深圳天图资本管理中心（有限合伙）","深圳福田区天图唐人神创新消费股权投资基金合伙企业(有限合伙)"
3053,"深圳天图资本管理中心（有限合伙）","深圳天图兴立投资企业（有限合伙）"
3054,"深圳天图资本管理中心（有限合伙）","深圳天图东峰投资咨询中心（有限合伙）"
3055,"深圳天图资本管理中心（有限合伙）","北京天图兴北投资中心（有限合伙）"
3056,"中企高达（北京）投资基金管理有限公司","中企港南京创业投资基金中心（有限合伙）"
3057,"中企高达（北京）投资基金管理有限公司","中企汇银南京创业投资基金中心（有限合伙）"
3058,"中企高达（北京）投资基金管理有限公司","中企港二期南京创业投资基金中心（有限合伙）"
3059,"中企高达（北京）投资基金管理有限公司","中企汇鑫南京股权投资基金中心（有限合伙）"
3060,"中企高达（北京）投资基金管理有限公司","中企宣力南京股权投资基金（有限合伙）"
3061,"万银资产管理有限公司","万银.安吉公路建设投资基金"
3062,"万银资产管理有限公司","万银.长兴政府综合物流园区投资基金"
3063,"万银资产管理有限公司","宁波万银越臻企业管理咨询合伙企业（有限合伙）"
3064,"上海盛联投资管理有限公司","上海盛联投资发展中心(有限合伙)"
3065,"上海盛联投资管理有限公司","上海岑岳投资合伙企业（有限合伙）"
3066,"上海盛联投资管理有限公司","上海盛联弘大投资中心(有限合伙)"
3067,"上海盛联投资管理有限公司","上海岑益投资合伙企业(有限合伙)"
3068,"北京恒银中嘉投资基金管理有限公司","北京恒银祥隆投资管理中心（有限合伙）"
3069,"北京恒银中嘉投资基金管理有限公司","北京恒银祥和投资管理中心（有限合伙）"
3070,"北京恒银中嘉投资基金管理有限公司","北京恒银腾达投资管理中心（有限合伙）"
3071,"北京恒银中嘉投资基金管理有限公司","北京恒银祥瑞投资管理中心（有限合伙）"
3072,"北京恒银中嘉投资基金管理有限公司","北京恒银中鸿投资管理中心（有限合伙）"
3073,"北京恒银中嘉投资基金管理有限公司","北京恒银祥泰投资管理中心（有限合伙）"
3074,"北京恒银中嘉投资基金管理有限公司","北京恒银融鑫投资管理中心（有限合伙）"
3075,"北京恒银中嘉投资基金管理有限公司","北京恒银永鸿投资管理中心（有限合伙）"
3076,"北京恒银中嘉投资基金管理有限公司","北京恒银隆熙投资管理中心（有限合伙）"
3077,"北京恒银中嘉投资基金管理有限公司","北京恒银腾飞投资管理中心（有限合伙）"
3078,"北京恒银中嘉投资基金管理有限公司","北京恒银鸿海投资管理中心（有限合伙）"
3079,"北京恒银中嘉投资基金管理有限公司","北京恒银鸿创投资管理中心（有限合伙）"
3080,"北京恒银中嘉投资基金管理有限公司","北京恒银鸿远投资管理中心（有限合伙）"
3081,"北京恒银中嘉投资基金管理有限公司","北京恒银博众投资管理中心（有限合伙）"
3082,"北京恒银中嘉投资基金管理有限公司","北京恒银鸿宇投资管理中心（有限合伙）"
3083,"北京恒银中嘉投资基金管理有限公司","北京恒银通达投资管理中心（有限合伙）"
3084,"北京恒银中嘉投资基金管理有限公司","北京恒银腾信投资管理中心（有限合伙）"
3085,"北京恒银中嘉投资基金管理有限公司","北京恒银兆信投资管理中心（有限合伙）"
3086,"北京恒银中嘉投资基金管理有限公司","北京恒银嘉和投资管理中心（有限合伙）"
3087,"北京恒银中嘉投资基金管理有限公司","北京恒银祥润投资管理中心（有限合伙）"
3088,"北京恒银中嘉投资基金管理有限公司","北京恒银博纳投资管理中心（有限合伙）"
3089,"北京恒银中嘉投资基金管理有限公司","北京恒银融泰投资管理中心（有限合伙）"
3090,"北京恒银中嘉投资基金管理有限公司","北京恒银兆丰投资管理中心（有限合伙）"
3091,"北京恒银中嘉投资基金管理有限公司","北京恒银瑞泰投资管理中心（有限合伙）"
3092,"北京恒银中嘉投资基金管理有限公司","北京恒银华城投资管理中心（有限合伙）"
3093,"北京恒银中嘉投资基金管理有限公司","北京恒银隆博投资管理中心（有限合伙）"
3094,"北京恒银中嘉投资基金管理有限公司","北京恒银腾辉投资管理中心（有限合伙）"
3095,"北京恒银中嘉投资基金管理有限公司","丽江复华度假世界项目投资专项基金"
3096,"渤海产业投资基金管理有限公司","渤海产业投资基金一期"
3097,"渤海产业投资基金管理有限公司","杭州渤慧通翌投资管理合伙企业（有限合伙）"
3098,"渤海产业投资基金管理有限公司","北京渤海通宸股权投资基金管理合伙企业（有限合伙）"
3099,"渤海产业投资基金管理有限公司","渤海通创股权投资基金"
3100,"渤海产业投资基金管理有限公司","渤海天嗣股权投资基金"
3101,"渤海产业投资基金管理有限公司","深圳前海博创股权投资基金合伙企业（有限合伙）"
3102,"渤海产业投资基金管理有限公司","北京渤海通新股权投资基金管理合伙企业（有限合伙）"
3103,"农银国联无锡投资管理有限公司","农银无锡股权投资基金企业（有限合伙）"
3104,"农银国联无锡投资管理有限公司","农银二号无锡股权投资中心(有限合伙）"
3105,"重庆联创共富股权投资管理中心（有限合伙）","重庆联创共富一期股权投资企业（有限合伙）"
3106,"重庆联创共富股权投资管理中心（有限合伙）","北京联创大洋投资合伙企业（有限合伙）"
3107,"深圳市倚锋投资管理企业（有限合伙）","深圳市前海倚锋太和股权投资基金企业（有限合伙）"
3108,"深圳市倚锋投资管理企业（有限合伙）","深圳市倚锋成长创业投资基金合伙企业（有限合伙）"
3109,"深圳市倚锋投资管理企业（有限合伙）","深圳市倚锋九期创业投资中心（有限合伙）"
3110,"深圳市倚锋投资管理企业（有限合伙）","深圳市倚锋睿进投资中心（有限合伙）"
3111,"深圳市倚锋投资管理企业（有限合伙）","深圳市倚锋睿意投资中心(有限合伙)"
3112,"上海复聚卿云投资管理有限公司","上海复卿实业投资中心（有限合伙）"
3113,"宁波睿思股权投资管理有限公司","宁波睿思股权投资合伙企业（有限合伙）"
